catalogNumber;recordNumber;organismName;scientificname;genus;subFamily;family;order;class;phylum;kingdom;locality;sector;stateProvince;country;tribu;subtribu;habitat;decimalLatitude;decimalLongitude;eventDate;species_homepage;dctermns:references;fotografia;vista;sex;comentario;recordedBy;emailautor
96-SRNP-1083-DHJ38088;96-SRNP-1083;;Achalarus albociliatus;Achalarus;Eudaminae;Nymphalidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Maritza;Sector Orosi;Guanacaste;Costa Rica;;;Bosque Seco;10,95727;-85,49514;4/9/1996;;;96-SRNP-1083-DHJ38088.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
96-SRNP-1083-DHJ38089;96-SRNP-1083;;Achalarus albociliatus;Achalarus;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Maritza;Sector Orosi;Guanacaste;Costa Rica;;;Bosque Seco;10,95727;-85,49514;4/9/1996;;;96-SRNP-1083-DHJ38089.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-14234-DHJ306796;02-SRNP-14234;;Achalarus albociliatus;Achalarus;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Finca Araya;Sector El Hacha;Guanacaste;Costa Rica;;;Bosque Seco;11,01541;-85,51125;4/1/2002;;;02-SRNP-14234-DHJ306796.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-14234-DHJ306797;02-SRNP-14234;;Achalarus albociliatus;Achalarus;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Finca Araya;Sector El Hacha;Guanacaste;Costa Rica;;;Bosque Seco;11,01541;-85,51125;4/1/2002;;;02-SRNP-14234-DHJ306797.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-10179-DHJ306808;02-SRNP-10179;;Achalarus toxeus;Achalarus;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Calliandra;Sector Santa Elena;Guanacaste;Costa Rica;;;Bosque Seco;10,86318;-85,66322;01/19/2002;;;02-SRNP-10179-DHJ306808.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-10179-DHJ306809;02-SRNP-10179;;Achalarus toxeus;Achalarus;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Calliandra;Sector Santa Elena;Guanacaste;Costa Rica;;;Bosque Seco;10,86318;-85,66322;01/19/2002;;;02-SRNP-10179-DHJ306809.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-10180-DHJ306810;02-SRNP-10180;;Achalarus toxeus;Achalarus;Eudaminae;NuevaFamilia;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Calliandra;Sector Santa Elena;Guanacaste;Costa Rica;;;Bosque Seco;10,86318;-85,66322;01/19/2002;;;02-SRNP-10180-DHJ306810.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-10180-DHJ306811;02-SRNP-10180;;Achalarus toxeus;Achalarus;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Calliandra;Sector Santa Elena;Guanacaste;Costa Rica;;;Bosque Seco;10,86318;-85,66322;01/19/2002;;;02-SRNP-10180-DHJ306811.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-48413-DHJ307278;04-SRNP-48413;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/404-i-achlyodes-bussirus-i-hesperiidae;Achlyodes busirus;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Heliconia;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88585;-85,49222;9/2/2004;;;04-SRNP-48413-DHJ307278.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-48413-DHJ307279;04-SRNP-48413;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/404-i-achlyodes-bussirus-i-hesperiidae;Achlyodes busirus;Achlyodes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Heliconia;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88585;-85,49222;9/2/2004;;;04-SRNP-48413-DHJ307279.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
